Date,maxtemp,pred_maxtemp,class_true,class_pred
2017-04-02,24.0,23.37,baja,baja
2017-04-03,24.0,23.71,baja,baja
2017-04-04,27.0,26.89,baja,baja
2017-04-05,31.0,31.93,mediana,mediana
2017-04-06,30.0,30.33,baja,mediana
2017-04-07,31.0,31.11,mediana,mediana
2017-04-08,27.0,27.85,baja,baja
2017-04-09,36.0,35.64,alta,alta
2017-04-10,34.0,34.12,mediana,alta
2017-04-11,31.0,31.93,mediana,mediana
2017-04-12,33.0,33.34,mediana,mediana
2017-04-13,36.0,35.62,alta,alta
2017-04-14,33.0,33.1,mediana,mediana
2017-04-15,31.0,31.29,mediana,mediana
2017-04-16,34.0,33.89,mediana,mediana
2017-04-17,33.0,33.14,mediana,mediana
2017-04-18,36.0,35.78,alta,alta
2017-04-19,37.0,36.19,alta,alta
2017-04-20,35.0,34.12,alta,alta
2017-04-21,36.0,35.87,alta,alta
2017-04-22,34.0,33.93,mediana,mediana
2017-04-23,30.0,31.77,baja,mediana
2017-04-24,23.0,24.38,baja,baja
2017-04-25,25.0,23.2,baja,baja
2017-04-26,28.0,27.54,baja,baja
2017-04-27,24.0,24.85,baja,baja
2017-04-28,22.0,22.15,baja,baja
2017-04-29,24.0,23.44,baja,baja
2017-04-30,25.0,25.09,baja,baja
2017-05-01,28.0,28.28,baja,baja
2017-05-02,29.0,28.97,baja,baja
2017-05-03,28.0,30.9,baja,mediana
2017-05-04,27.0,26.27,baja,baja
2017-05-05,33.0,33.42,mediana,mediana
2017-05-06,30.0,30.53,baja,mediana
2017-05-07,26.0,27.69,baja,baja
2017-05-08,29.0,29.6,baja,baja
2017-05-09,35.0,35.11,alta,alta
2017-05-10,31.0,31.28,mediana,mediana
2017-05-11,36.0,35.72,alta,alta
2017-05-12,31.0,31.72,mediana,mediana
2017-05-13,36.0,35.58,alta,alta
2017-05-14,35.0,34.79,alta,alta
2017-05-15,34.0,33.77,mediana,mediana
2017-05-16,34.0,34.47,mediana,alta
2017-05-17,35.0,34.86,alta,alta
2017-05-18,32.0,32.51,mediana,mediana
2017-05-19,32.0,32.46,mediana,mediana
2017-05-20,33.0,34.39,mediana,alta
2017-05-21,35.0,32.35,alta,mediana
2017-05-22,35.0,33.82,alta,mediana
2017-05-23,35.0,34.67,alta,alta
2017-05-24,34.0,33.99,mediana,mediana
2017-05-25,36.0,34.7,alta,alta
2017-05-26,36.0,36.01,alta,alta
2017-05-27,37.0,36.55,alta,alta
2017-05-28,34.0,32.92,mediana,mediana
2017-05-29,34.0,33.27,mediana,mediana
2017-05-30,37.0,37.23,alta,alta
2017-05-31,33.0,33.7,mediana,mediana
2017-06-01,37.0,36.16,alta,alta
2017-06-02,35.0,34.45,alta,alta
2017-06-03,34.0,34.63,mediana,alta
2017-06-04,35.0,35.47,alta,alta
2017-06-05,22.0,24.31,baja,baja
2017-06-06,23.0,24.06,baja,baja
2017-06-07,27.0,26.55,baja,baja
2017-06-08,24.0,22.56,baja,baja
2017-06-09,22.0,22.19,baja,baja
2017-06-10,22.0,22.37,baja,baja
2017-06-11,26.0,23.48,baja,baja
2017-06-12,28.0,27.75,baja,baja
2017-06-13,30.0,29.63,baja,baja
2017-06-14,29.0,28.54,baja,baja
2017-06-15,27.0,27.05,baja,baja
2017-06-16,32.0,32.34,mediana,mediana
2017-06-17,30.0,31.24,baja,mediana
2017-06-18,26.0,27.24,baja,baja
2017-06-19,30.0,30.53,baja,mediana
2017-06-20,35.0,35.07,alta,alta
2017-06-21,28.0,29.07,baja,baja
2017-06-22,36.0,33.84,alta,mediana
2017-06-23,32.0,32.13,mediana,mediana
2017-06-24,35.0,35.21,alta,alta
2017-06-25,33.0,32.7,mediana,mediana
2017-06-26,32.0,32.04,mediana,mediana
2017-06-27,32.0,33.4,mediana,mediana
2017-06-28,33.0,32.79,mediana,mediana
2017-06-29,29.0,29.3,baja,baja
2017-06-30,33.0,32.89,mediana,mediana
2017-07-01,35.0,34.64,alta,alta
2017-07-02,32.0,31.66,mediana,mediana
2017-07-03,35.0,34.25,alta,alta
2017-07-04,33.0,32.9,mediana,mediana
2017-07-05,33.0,33.59,mediana,mediana
2017-07-06,36.0,35.31,alta,alta
2017-07-07,37.0,37.22,alta,alta
2017-07-08,36.0,35.31,alta,alta
2017-07-09,35.0,34.56,alta,alta
2017-07-10,32.0,31.38,mediana,mediana
2017-07-11,38.0,37.41,alta,alta
2017-07-12,37.0,35.05,alta,alta
2017-07-13,37.0,36.65,alta,alta
2017-07-14,36.0,36.17,alta,alta
2017-07-15,34.0,34.88,mediana,alta
2017-07-16,35.0,34.77,alta,alta
2017-07-17,28.0,27.92,baja,baja
2017-07-18,24.0,26.7,baja,baja
2017-07-19,24.0,25.07,baja,baja
2017-07-20,27.0,26.45,baja,baja
2017-07-21,23.0,23.61,baja,baja
2017-07-22,19.0,19.72,baja,baja
2017-07-23,22.0,22.52,baja,baja
2017-07-24,26.0,25.78,baja,baja
2017-07-25,28.0,27.89,baja,baja
2017-07-26,29.0,29.49,baja,baja
2017-07-27,29.0,27.94,baja,baja
2017-07-28,27.0,27.08,baja,baja
2017-07-29,32.0,32.31,mediana,mediana
2017-07-30,30.0,29.86,baja,baja
2017-07-31,30.0,30.72,baja,mediana
2017-08-01,31.0,30.6,mediana,mediana
2017-08-02,35.0,34.97,alta,alta
2017-08-03,29.0,30.75,baja,mediana
2017-08-04,35.0,34.77,alta,alta
2017-08-05,33.0,32.89,mediana,mediana
2017-08-06,33.0,32.94,mediana,mediana
2017-08-07,33.0,33.18,mediana,mediana
2017-08-08,33.0,33.42,mediana,mediana
2017-08-09,32.0,32.42,mediana,mediana
2017-08-10,36.0,35.11,alta,alta
2017-08-11,32.0,32.32,mediana,mediana
2017-08-12,31.0,31.6,mediana,mediana
2017-08-13,33.0,32.74,mediana,mediana
2017-08-14,35.0,34.22,alta,alta
2017-08-15,32.0,32.71,mediana,mediana
2017-08-16,32.0,31.84,mediana,mediana
2017-08-17,31.0,32.46,mediana,mediana
2017-08-18,27.0,28.9,baja,baja
2017-08-19,38.0,37.04,alta,alta
2017-08-20,36.0,35.94,alta,alta
2017-08-21,37.0,36.32,alta,alta
2017-08-22,27.0,28.98,baja,baja
2017-08-23,38.0,37.62,alta,alta
2017-08-24,35.0,34.93,alta,alta
2017-08-25,37.0,36.92,alta,alta
2017-08-26,36.0,35.81,alta,alta
2017-08-27,33.0,33.44,mediana,mediana
2017-08-28,37.0,36.55,alta,alta
2017-08-29,27.0,27.34,baja,baja
2017-08-30,24.0,25.93,baja,baja
2017-08-31,33.0,32.5,mediana,mediana
2017-09-01,25.0,25.3,baja,baja
2017-09-02,22.0,23.7,baja,baja
2017-09-03,27.0,25.94,baja,baja
2017-09-04,23.0,24.5,baja,baja
2017-09-05,18.0,19.15,baja,baja
2017-09-06,23.0,23.08,baja,baja
2017-09-07,26.0,25.27,baja,baja
2017-09-08,27.0,26.94,baja,baja
2017-09-09,29.0,29.16,baja,baja
2017-09-10,27.0,27.57,baja,baja
2017-09-11,29.0,28.03,baja,baja
2017-09-12,33.0,33.47,mediana,mediana
2017-09-13,29.0,29.61,baja,baja
2017-09-14,31.0,30.71,mediana,mediana
2017-09-15,31.0,30.85,mediana,mediana
2017-09-16,35.0,34.88,alta,alta
2017-09-17,29.0,31.63,baja,mediana
2017-09-18,33.0,33.18,mediana,mediana
2017-09-19,34.0,33.86,mediana,mediana
2017-09-20,29.0,30.1,baja,mediana
2017-09-21,33.0,33.0,mediana,mediana
2017-09-22,32.0,32.19,mediana,mediana
2017-09-23,32.0,31.09,mediana,mediana
2017-09-24,35.0,34.82,alta,alta
2017-09-25,32.0,32.49,mediana,mediana
2017-09-26,30.0,31.32,baja,mediana
2017-09-27,32.0,32.47,mediana,mediana
2017-09-28,32.0,31.63,mediana,mediana
2017-09-29,35.0,35.47,alta,alta
2017-09-30,31.0,32.17,mediana,mediana
2017-10-01,32.0,32.89,mediana,mediana
2017-10-02,34.0,33.71,mediana,mediana
2017-10-03,37.0,37.78,alta,alta
2017-10-04,36.0,36.04,alta,alta
2017-10-05,35.0,34.96,alta,alta
2017-10-06,29.0,29.61,baja,baja
2017-10-07,38.0,37.53,alta,alta
2017-10-08,34.0,34.25,mediana,alta
2017-10-09,37.0,36.24,alta,alta
2017-10-10,36.0,36.11,alta,alta
2017-10-11,33.0,32.07,mediana,mediana
2017-10-12,37.0,36.63,alta,alta
2017-10-13,26.0,26.53,baja,baja
2017-10-14,27.0,26.76,baja,baja
2017-10-15,33.0,29.7,mediana,baja
2017-10-16,23.0,24.49,baja,baja
2017-10-17,26.0,25.42,baja,baja
2017-10-18,24.0,24.92,baja,baja
2017-10-19,23.0,24.08,baja,baja
2017-10-20,17.0,18.75,baja,baja
2017-10-21,23.0,23.01,baja,baja
2017-10-22,25.0,24.57,baja,baja
2017-10-23,25.0,25.74,baja,baja
2017-10-24,29.0,29.22,baja,baja
2017-10-25,29.0,28.66,baja,baja
2017-10-26,27.0,26.76,baja,baja
2017-10-27,33.0,31.85,mediana,mediana
2017-10-28,26.0,27.99,baja,baja
2017-10-29,32.0,30.13,mediana,mediana
2017-10-30,32.0,31.47,mediana,mediana
2017-10-31,33.0,33.41,mediana,mediana
2017-11-01,30.0,29.48,baja,baja
2017-11-02,34.0,33.94,mediana,mediana
2017-11-03,36.0,35.73,alta,alta
2017-11-04,30.0,29.58,baja,baja
2017-11-05,32.0,32.13,mediana,mediana
2017-11-06,34.0,33.33,mediana,mediana
2017-11-07,34.0,33.9,mediana,mediana
2017-11-08,36.0,34.94,alta,alta
2017-11-09,31.0,32.76,mediana,mediana
2017-11-10,27.0,28.09,baja,baja
2017-11-11,33.0,33.64,mediana,mediana
2017-11-12,36.0,35.28,alta,alta
2017-11-13,36.0,35.88,alta,alta
2017-11-14,31.0,30.0,mediana,baja
2017-11-15,33.0,33.03,mediana,mediana
2017-11-16,33.0,33.4,mediana,mediana
2017-11-17,36.0,35.46,alta,alta
2017-11-18,36.0,35.82,alta,alta
2017-11-19,37.0,35.18,alta,alta
2017-11-20,32.0,31.9,mediana,mediana
2017-11-21,36.0,34.82,alta,alta
2017-11-22,36.0,35.5,alta,alta
2017-11-23,38.0,37.56,alta,alta
2017-11-24,35.0,33.8,alta,mediana
2017-11-25,35.0,33.34,alta,mediana
2017-11-26,35.0,34.66,alta,alta
2017-11-27,26.0,26.53,baja,baja
2017-11-28,24.0,28.31,baja,baja
2017-11-29,34.0,33.91,mediana,mediana
2017-11-30,24.0,24.07,baja,baja
2017-12-01,29.0,27.64,baja,baja
2017-12-02,27.0,25.21,baja,baja
2017-12-03,24.0,24.43,baja,baja
2017-12-04,28.0,26.68,baja,baja
2017-12-05,24.0,25.72,baja,baja
2017-12-06,25.0,25.41,baja,baja
2017-12-07,27.0,26.74,baja,baja
2017-12-08,29.0,28.81,baja,baja
2017-12-09,28.0,27.94,baja,baja
2017-12-10,27.0,26.98,baja,baja
2017-12-11,32.0,32.66,mediana,mediana
2017-12-12,24.0,26.27,baja,baja
2017-12-13,33.0,31.67,mediana,mediana
2017-12-14,32.0,31.65,mediana,mediana
2017-12-15,32.0,32.83,mediana,mediana
2017-12-16,26.0,27.15,baja,baja
2017-12-17,36.0,35.23,alta,alta
2017-12-18,35.0,35.25,alta,alta
2017-12-19,35.0,34.08,alta,alta
2017-12-20,30.0,30.81,baja,mediana
2017-12-21,33.0,33.07,mediana,mediana
2017-12-22,35.0,34.54,alta,alta
2017-12-23,35.0,33.81,alta,mediana
2017-12-24,34.0,33.66,mediana,mediana
2017-12-25,32.0,31.73,mediana,mediana
2017-12-26,30.0,30.16,baja,mediana
2017-12-27,36.0,36.43,alta,alta
2017-12-28,37.0,36.28,alta,alta
2017-12-29,28.0,29.55,baja,baja
2017-12-30,33.0,32.88,mediana,mediana
2017-12-31,33.0,33.35,mediana,mediana
2018-01-01,33.0,34.24,mediana,alta
2018-01-02,35.0,34.56,alta,alta
2018-01-03,37.0,37.24,alta,alta
2018-01-04,34.0,34.19,mediana,alta
2018-01-05,36.0,36.42,alta,alta
2018-01-06,37.0,36.29,alta,alta
2018-01-07,37.0,37.09,alta,alta
2018-01-08,34.0,33.8,mediana,mediana
2018-01-09,36.0,35.58,alta,alta
2018-01-10,35.0,34.13,alta,alta
2018-01-11,21.0,23.01,baja,baja
2018-01-12,25.0,25.35,baja,baja
2018-01-13,36.0,34.48,alta,alta
2018-01-14,22.0,22.53,baja,baja
2018-01-15,29.0,27.81,baja,baja
2018-01-16,27.0,28.63,baja,baja
2018-01-17,24.0,24.28,baja,baja
2018-01-18,22.0,22.49,baja,baja
2018-01-19,24.0,24.73,baja,baja
2018-01-20,26.0,25.92,baja,baja
2018-01-21,25.0,25.67,baja,baja
2018-01-22,28.0,28.38,baja,baja
2018-01-23,28.0,27.71,baja,baja
2018-01-24,27.0,27.48,baja,baja
2018-01-25,30.0,30.25,baja,mediana
2018-01-26,23.0,24.09,baja,baja
2018-01-27,32.0,31.89,mediana,mediana
2018-01-28,34.0,34.14,mediana,alta
2018-01-29,33.0,33.31,mediana,mediana
2018-01-30,30.0,32.57,baja,mediana
2018-01-31,36.0,35.32,alta,alta
2018-02-01,36.0,35.46,alta,alta
2018-02-02,35.0,32.7,alta,mediana
2018-02-03,29.0,30.32,baja,mediana
2018-02-04,33.0,33.61,mediana,mediana
2018-02-05,34.0,33.91,mediana,mediana
2018-02-06,32.0,33.14,mediana,mediana
2018-02-07,36.0,34.63,alta,alta
2018-02-08,31.0,33.02,mediana,mediana
2018-02-09,28.0,28.28,baja,baja
2018-02-10,36.0,35.72,alta,alta
2018-02-11,35.0,35.41,alta,alta
2018-02-12,31.0,32.92,mediana,mediana
2018-02-13,33.0,33.12,mediana,mediana
2018-02-14,34.0,34.5,mediana,alta
2018-02-15,37.0,36.33,alta,alta
2018-02-16,35.0,35.12,alta,alta
2018-02-17,37.0,36.61,alta,alta
2018-02-18,33.0,33.77,mediana,mediana
2018-02-19,37.0,36.95,alta,alta
2018-02-20,39.0,37.32,alta,alta
2018-02-21,36.0,35.48,alta,alta
2018-02-22,32.0,32.03,mediana,mediana
2018-02-23,34.0,33.97,mediana,mediana
2018-02-24,35.0,34.53,alta,alta
